582676.9	4147608.4	1	30.52
582676.9	4147608.4	2	30.54
582676.9	4147608.4	3	30.55
582676.9	4147608.4	4	30.56
582676.9	4147608.4	5	30.57
582676.9	4147608.4	6	30.57
581341.5	4148519.9	1	30.86
581341.5	4148519.9	2	30.86
581341.5	4148519.9	3	30.84
581341.5	4148519.9	4	30.84
581341.5	4148519.9	5	30.83
581341.5	4148519.9	6	30.83
581341.5	4148519.9	7	30.82
580146.6	4150172.6	1	30.98
580146.6	4150172.6	2	30.95
580146.6	4150172.6	3	30.96
580146.6	4150172.6	4	30.96
580146.6	4150172.6	5	30.95
580146.6	4150172.6	6	30.95
580146.6	4150172.6	7	30.95
577628.1	4151628.2	1	31.06
577628.1	4151628.2	2	31.07
577628.1	4151628.2	3	31.07
577628.1	4151628.2	4	31.05
577628.1	4151628.2	5	31.08
577628.1	4151628.2	6	31.08
577628.1	4151628.2	7	31.08
577628.1	4151628.2	8	31.08
577628.1	4151628.2	9	31.08
577628.1	4151628.2	10	31.08
577628.1	4151628.2	11	31.08
577628.1	4151628.2	12	31.08
576586.8	4152728.1	1	31.05
576586.8	4152728.1	2	31.06
576586.8	4152728.1	3	31.07
576586.8	4152728.1	4	31.07
576586.8	4152728.1	5	31.07
576586.8	4152728.1	6	31.07
576586.8	4152728.1	7	31.07
576586.8	4152728.1	8	31.07
576586.8	4152728.1	9	31.07
576586.8	4152728.1	10	31.07
574367.6	4153817.5	1	31.05
574367.6	4153817.5	2	31.06
574367.6	4153817.5	3	31.06
574367.6	4153817.5	4	31.06
574367.6	4153817.5	5	31.07
574367.6	4153817.5	6	31.07
574367.6	4153817.5	7	31.07
574367.6	4153817.5	8	31.07
574367.6	4153817.5	9	31.07
574367.6	4153817.5	10	31.07
571544	4156751.5	1	31.05
571544	4156751.5	2	31.08
571544	4156751.5	3	31.08
571544	4156751.5	4	31.08
571544	4156751.5	5	31.09
571544	4156751.5	6	31.08
571544	4156751.5	7	31.08
571544	4156751.5	8	31.08
571544	4156751.5	9	31.08
571544	4156751.5	10	31.08
571544	4156751.5	11	31.08
571544	4156751.5	12	31.08
571544	4156751.5	13	31.08
569029.1	4158209.6	1	31.04
569029.1	4158209.6	2	31.05
569029.1	4158209.6	3	31.07
569029.1	4158209.6	4	31.07
569029.1	4158209.6	5	31.07
569029.1	4158209.6	6	31.07
569029.1	4158209.6	7	31.07
569029.1	4158209.6	8	31.07
569029.1	4158209.6	9	31.06
569029.1	4158209.6	10	31.06
569029.1	4158209.6	11	31.06
569029.1	4158209.6	12	31.06
569029.1	4158209.6	13	31.06
569029.1	4158209.6	14	31.06
569029.1	4158209.6	15	31.06
562690.4	4159453.7	1	31.06
562690.4	4159453.7	2	31.06
562690.4	4159453.7	3	31.05
562690.4	4159453.7	4	31.06
562690.4	4159453.7	5	31.06
562690.4	4159453.7	6	31.08
562690.4	4159453.7	7	31.08
562690.4	4159453.7	8	31.08
562690.4	4159453.7	9	31.07
562690.4	4159453.7	10	31.07
562690.4	4159453.7	11	31.07
562690.4	4159453.7	12	31.07
562690.4	4159453.7	13	31.07
562690.4	4159453.7	14	31.07
562690.4	4159453.7	15	31.07
562690.4	4159453.7	16	31.07
564437.6	4161871.1	1	31.05
564437.6	4161871.1	2	31.04
564437.6	4161871.1	3	31.05
564437.6	4161871.1	4	31.05
564437.6	4161871.1	5	31.05
564437.6	4161871.1	6	31.06
564437.6	4161871.1	7	31.05
564437.6	4161871.1	8	31.06
564437.6	4161871.1	9	31.06
564437.6	4161871.1	10	31.06
564437.6	4161871.1	11	31.06
564437.6	4161871.1	12	31.06
564437.6	4161871.1	13	31.06
564437.6	4161871.1	14	31.06
562511.1	4163705.6	1	31.06
562511.1	4163705.6	2	31.01
562511.1	4163705.6	3	31.07
562511.1	4163705.6	4	31.07
562511.1	4163705.6	5	31.04
562511.1	4163705.6	6	31.05
562511.1	4163705.6	7	31.05
562511.1	4163705.6	8	31.05
562511.1	4163705.6	9	31.05
562511.1	4163705.6	10	31.05
562511.1	4163705.6	11	31.05
562511.1	4163705.6	12	31.05
560585.5	4165540.5	1	31.02
560585.5	4165540.5	2	31.03
560585.5	4165540.5	3	31.05
560585.5	4165540.5	4	31.04
560585.5	4165540.5	5	31.04
560585.5	4165540.5	6	31.04
560585.5	4165540.5	7	31.04
560585.5	4165540.5	8	31.03
560585.5	4165540.5	9	31.03
560585.5	4165540.5	10	31.03
559528.1	4169416.2	1	31.03
559528.1	4169416.2	2	31.03
559528.1	4169416.2	3	31.07
559528.1	4169416.2	4	31.1
559528.1	4169416.2	5	31.19
559528.1	4169416.2	6	31.21
559528.1	4169416.2	7	31.21
559528.1	4169416.2	8	31.22
559528.1	4169416.2	9	31.21
558330.1	4172551.3	1	31.16
558330.1	4172551.3	2	31.23
558330.1	4172551.3	3	31.28
558330.1	4172551.3	4	31.3
558330.1	4172551.3	5	31.33
558330.1	4172551.3	6	31.34
558330.1	4172551.3	7	31.34
558330.1	4172551.3	8	31.34
558330.1	4172551.3	9	31.34
558330.1	4172551.3	10	31.34
558453.4	4175880.8	1	31.27
558453.4	4175880.8	2	31.29
558453.4	4175880.8	3	31.33
558453.4	4175880.8	4	31.33
558453.4	4175880.8	5	31.33
558453.4	4175880.8	6	31.34
558453.4	4175880.8	7	31.35
558453.4	4175880.8	8	31.35
558453.4	4175880.8	9	31.35
558453.4	4175880.8	10	31.35
558453.4	4175880.8	11	31.37
558453.4	4175880.8	12	31.43
558453.4	4175880.8	13	31.45
558453.4	4175880.8	14	31.46
558453.4	4175880.8	15	31.46
