Port Chicago, CA Port Chicago, CA: Data Inventory 
Station ID: 9415144 Page Help 

Meteorological Observations

Station Date      Time Wind Sp Wind Dr Wind Gt Air Tmp H2O Tmp Baro Pr
DCP#:                        1       1       1       1       1       1
Units:                 Mtr/Sec Degrees Mtr/Sec  Degr C  Degr C   mbars
Data%:  StnDtm     GMT  97.728  97.728  97.728  97.567  97.527  97.581  
Maximum:                14.100 344.000  17.900  28.000  22.300 1023.60  
Minimum:                 0.000   1.000   0.000   9.300  16.300 1009.00  
------- -------- ----- ------- ------- ------- ------- ------- ------- 
9415144 20050501 07:54   3.700 215.000   5.000  12.600  17.000 1019.00
9415144 20050501 08:00   3.700 213.000   6.000  12.600  17.100 1018.80
9415144 20050501 08:06   3.600 215.000   4.500  12.800  17.000 1018.70
9415144 20050501 08:12   3.500 213.000   4.700  12.500  17.000 1018.80
9415144 20050501 08:18                                                
9415144 20050501 08:24   4.300 217.000   5.400  12.800  17.000 1018.70
9415144 20050501 08:30   4.600 218.000   5.500  12.600  17.000 1018.70
9415144 20050501 08:36   3.900 214.000   5.000  12.500  17.000 1018.60
9415144 20050501 08:42   4.800 218.000   5.300  12.400  17.000 1018.70
9415144 20050501 08:48   4.900 219.000   5.600  12.100  17.000 1018.70
9415144 20050501 08:54   4.100 220.000   5.500  12.200  17.000 1018.80
9415144 20050501 09:00   4.400 212.000   5.700  12.400  17.000 1018.80
9415144 20050501 09:06   4.400 218.000   5.600  12.300  16.900 1018.80
9415144 20050501 09:12   5.100 217.000   6.100  12.500  16.900 1018.50
9415144 20050501 09:18   4.900 219.000   6.000  12.300  16.900 1018.50
9415144 20050501 09:24   4.900 218.000   5.700  12.400  16.800 1018.70
9415144 20050501 09:30   4.800 216.000   5.700  12.200  16.800 1018.80
9415144 20050501 09:36   4.700 218.000   5.500  12.300  16.700 1018.70
9415144 20050501 09:42   5.200 218.000   6.300  12.200  16.700 1018.40
9415144 20050501 09:48   4.900 217.000   6.000  12.300  16.700 1018.30
9415144 20050501 09:54   4.800 215.000   5.900  12.500  16.700 1018.40
9415144 20050501 10:00   5.700 216.000   6.400  12.500  16.800 1018.50
9415144 20050501 10:06   5.800 216.000   6.800  12.300  16.800 1018.50
9415144 20050501 10:12   3.200 210.000   5.700  12.100  16.800 1018.30
9415144 20050501 10:18   3.600 215.000   4.300  12.400  16.700 1018.20
9415144 20050501 10:24   3.200 208.000   4.700  12.400  16.800 1018.40
9415144 20050501 10:30   2.900 207.000   4.100  12.300  16.800 1018.40
9415144 20050501 10:36   3.500 212.000   4.400  12.200  16.800 1018.30
9415144 20050501 10:42   4.000 215.000   4.900  12.000  16.800 1018.50
9415144 20050501 10:48   3.900 214.000   4.600  12.200  16.800 1018.50
9415144 20050501 10:54   3.900 219.000   4.700  12.000  16.700 1018.30
9415144 20050501 11:00   4.600 219.000   5.000  12.200  16.700 1018.50
9415144 20050501 11:06   3.100 211.000   4.900  12.500  16.700 1018.40
9415144 20050501 11:12   4.300 213.000   5.100  12.500  16.700 1018.50
9415144 20050501 11:18   4.500 212.000   5.800  12.500  16.700 1018.40
9415144 20050501 11:24   3.100 207.000   5.100  12.500  16.600 1018.50
9415144 20050501 11:30   2.900 207.000   4.200  12.800  16.600 1018.50
9415144 20050501 11:36   3.100 208.000   3.900  12.600  16.600 1018.60
9415144 20050501 11:42   3.500 216.000   4.400  12.500  16.600 1018.40
9415144 20050501 11:48   3.200 217.000   3.800  12.400  16.600 1018.20
9415144 20050501 11:54   3.600 218.000   3.800  12.600  16.600 1018.20
9415144 20050501 12:00   3.500 213.000   4.200  12.500  16.600 1018.30
9415144 20050501 12:06   3.900 220.000   4.500  12.600  16.600 1018.20
9415144 20050501 12:12   3.800 222.000   4.000  12.300  16.600 1018.00
9415144 20050501 12:18                                         1017.90
9415144 20050501 12:24   3.700 218.000   3.900  12.600  16.600 1018.20
9415144 20050501 12:30                                                
9415144 20050501 12:36   3.200 212.000   4.300  12.500  16.700 1018.10
9415144 20050501 12:42   4.700 218.000   5.000  12.300  16.700 1018.30
9415144 20050501 12:48   5.000 218.000   5.200  11.900  16.800 1018.40
9415144 20050501 12:54   5.200 223.000   5.500  12.100  16.800 1018.40
9415144 20050501 13:00   4.800 216.000   5.300  11.800  16.800 1018.50
9415144 20050501 13:06   4.200 216.000   4.900  11.800  16.800 1018.30
9415144 20050501 13:12   2.300 210.000   4.500  11.900  16.800 1018.40
9415144 20050501 13:18   2.900 211.000   3.700  11.700  16.800 1018.40
9415144 20050501 13:24   3.500 208.000   4.300  11.600  16.800 1018.60
9415144 20050501 13:30   2.900 186.000   3.600  11.100  16.700 1018.60
9415144 20050501 13:36   1.200 202.000   3.500  11.000  16.700 1018.50
9415144 20050501 13:42   2.000 196.000   3.900  11.100  16.700 1018.60
9415144 20050501 13:48   1.600 193.000   3.100  11.300  16.700 1018.60
9415144 20050501 13:54   1.100 197.000   3.000  11.300  16.700 1018.60
9415144 20050501 14:00   0.900 196.000   3.400  11.200  16.700 1018.80
9415144 20050501 14:06   1.400 193.000   3.200  11.400  16.700 1018.70
9415144 20050501 14:12   0.800 195.000   3.400  11.500  16.700 1018.80
9415144 20050501 14:18   1.800 192.000   3.300  11.700  16.700 1018.90
9415144 20050501 14:24   2.800 190.000   4.800  12.200  16.700 1018.90
9415144 20050501 14:30   1.600 190.000   4.000  12.100  16.600 1019.10
9415144 20050501 14:36   1.800 194.000   3.900  12.300  16.600 1019.10
9415144 20050501 14:42   1.500 195.000   3.100  12.600  16.600 1018.80
9415144 20050501 14:48   0.600 197.000   3.700  12.900  16.600 1018.90
9415144 20050501 14:54   1.900 195.000   3.300  13.100  16.600 1019.00
9415144 20050501 15:00   3.400 210.000   4.400  13.000  16.600 1019.10
9415144 20050501 15:06   2.700 222.000   4.100  13.100  16.600 1019.20
9415144 20050501 15:12   2.600 233.000   3.400  13.300  16.600 1019.10
9415144 20050501 15:18   2.300 240.000   3.600  13.200  16.600 1019.00
9415144 20050501 15:24   3.900 245.000   4.300  13.600  16.600 1019.10
9415144 20050501 15:30   3.400 239.000   4.200  13.500  16.600 1019.10
9415144 20050501 15:36   4.300 247.000   5.000  13.400  16.600 1019.20
9415144 20050501 15:42   3.300 241.000   5.100  13.900  16.600 1019.20
9415144 20050501 15:48   4.400 244.000   4.800  13.800  16.600 1018.90
9415144 20050501 15:54   3.400 252.000   4.100  14.000  16.600 1019.10
9415144 20050501 16:00   3.700 255.000   4.200  13.800  16.600 1019.20
9415144 20050501 16:06   4.700 252.000   5.400  13.900  16.600 1019.30
9415144 20050501 16:12   5.200 250.000   6.400  14.200  16.600 1019.40
9415144 20050501 16:18   4.800 257.000   6.000  14.000  16.600 1019.50
9415144 20050501 16:24   5.000 256.000   5.900  14.200  16.600 1019.20
9415144 20050501 16:30   5.700 259.000   6.200  14.100  16.700 1019.30
9415144 20050501 16:36   5.300 257.000   6.000  14.300  16.700 1019.30
9415144 20050501 16:42   4.400 255.000   5.600  14.400  16.700 1019.40
9415144 20050501 16:48   5.000 257.000   5.500  14.400  16.700 1019.60
9415144 20050501 16:54   4.800 257.000   5.500  14.500  16.700 1019.50
9415144 20050501 17:00   5.100 246.000   6.300  14.700  16.600 1019.50
9415144 20050501 17:06   4.800 257.000   5.700  14.700  16.700 1019.30
9415144 20050501 17:12   4.500 258.000   5.800  14.800  16.600 1019.30
9415144 20050501 17:18   4.800 251.000   5.900  15.100  16.600 1019.30
9415144 20050501 17:24   5.200 255.000   6.400  15.000  16.600 1019.40
9415144 20050501 17:30   6.000 258.000   6.600  15.300  16.600 1019.40
9415144 20050501 17:36   5.800 256.000   6.800  15.700  16.600 1019.60
9415144 20050501 17:42   6.500 254.000   7.300  15.500  16.700 1019.50
9415144 20050501 17:48   6.300 256.000   7.200  15.700  16.800 1019.60
9415144 20050501 17:54   5.500 255.000   7.300  15.800  16.800 1019.30
9415144 20050501 18:00   5.900 257.000   7.200  16.000  16.900 1019.30
9415144 20050501 18:06   6.400 261.000   7.500  15.800  17.000 1019.30
9415144 20050501 18:12   6.800 263.000   7.400  16.000  17.200 1019.50
9415144 20050501 18:18   6.600 265.000   7.500  15.900  17.200 1019.60
9415144 20050501 18:24   5.800 265.000   6.800  16.100  17.300 1019.60
9415144 20050501 18:30   5.700 262.000   6.800  16.200  17.400 1019.40
9415144 20050501 18:36   5.400 262.000   6.300  16.500  17.400 1019.40
9415144 20050501 18:42   5.700 258.000   6.300  16.600  17.500 1019.60
9415144 20050501 18:48   6.000 257.000   6.800  16.200  17.500 1019.60
9415144 20050501 18:54   5.800 261.000   6.400  16.700  17.600 1019.50
9415144 20050501 19:00   6.000 262.000   6.700  16.300  17.600 1019.50
9415144 20050501 19:06   5.700 260.000   6.900  16.600  17.700 1019.60
9415144 20050501 19:12   5.900 263.000   6.700  16.200  17.800 1019.30
9415144 20050501 19:18   5.500 262.000   6.300  16.700  17.800 1019.30
9415144 20050501 19:24   5.700 263.000   6.300  16.800  17.900 1019.30
9415144 20050501 19:30   5.700 263.000   6.300  17.100  17.900 1019.20
9415144 20050501 19:36   5.200 263.000   5.700  16.900  17.900 1019.20
9415144 20050501 19:42   5.100 264.000   5.600  16.900  18.000 1019.30
