Redwood City, CA: Data Inventory 
Station ID: 9414523 Page Help 

Meteorological Observations

Station Date      Time Wind Sp Wind Dr Wind Gt Air Tmp H2O Tmp Baro Pr
DCP#:                        1       1       1       1       1       1
Units:                 Mtr/Sec Degrees Mtr/Sec  Degr C  Degr C   mbars
Data%:  StnDtm     GMT  97.540  97.540  97.540  97.366  97.352  97.392  
Maximum:                11.500 359.000  14.200  25.700  20.500 1021.20  
Minimum:                 0.000   0.000   0.000   9.900  15.900 1010.20  
------- -------- ----- ------- ------- ------- ------- ------- ------- 
9414523 20050501 08:06   0.700 270.000   1.700  13.300  16.300 1019.80
9414523 20050501 08:12   0.000 283.000   1.700  13.300  16.300 1019.80
9414523 20050501 08:18   0.500 264.000   1.600  13.400  16.200 1019.90
9414523 20050501 08:24   1.000 270.000   1.800  13.400  16.200 1019.80
9414523 20050501 08:30   0.200 267.000   1.600  13.400  16.200 1019.70
9414523 20050501 08:36   0.600 275.000   1.600  13.400  16.200 1019.70
9414523 20050501 08:42   1.200 269.000   1.700  13.400  16.200 1019.70
9414523 20050501 08:48   0.200 264.000   1.700  13.500  16.200 1019.60
9414523 20050501 08:54   0.000 298.000   0.000  13.300  16.200 1019.50
9414523 20050501 09:00   0.200 284.000   1.600  13.400  16.200 1019.70
9414523 20050501 09:06   0.300 296.000   1.600  13.400  16.200 1019.60
9414523 20050501 09:12   0.800 287.000   1.800  13.300  16.200 1019.70
9414523 20050501 09:18   0.800 302.000   1.900  13.300  16.200 1019.50
9414523 20050501 09:24   0.000 326.000   1.300  13.300  16.100 1019.40
9414523 20050501 09:30   0.800 326.000   1.500  13.300  16.100 1019.30
9414523 20050501 09:36   0.000 329.000   1.100  13.400  16.100 1019.30
9414523 20050501 09:42   0.000 309.000   0.700  13.400  16.100 1019.30
9414523 20050501 09:48   0.000 282.000   0.000  13.400  16.100 1019.30
9414523 20050501 09:54   0.000 293.000   1.600  13.400  16.100 1019.20
9414523 20050501 10:00   0.000 302.000   0.000  13.400  16.100 1019.10
9414523 20050501 10:06   0.000 273.000   0.000  13.400  16.100 1019.10
9414523 20050501 10:12   0.000 269.000   0.000  13.300  16.100 1019.20
