Richmond, CA
Station ID: 9414863
Meteorological Observations

Station Date      Time Wind Sp Wind Dr Wind Gt Air Tmp H2O Tmp Baro Pr
DCP#:                        1       1       1       1       1       1
Units:                 Mtr/Sec Degrees Mtr/Sec  Degr C  Degr C   mbars
Data%:  StnDtm     GMT  95.327  95.327  95.327  94.792  94.881  95.208  
Maximum:                12.100 359.000  16.600  13.100  11.100 1028.30  
Minimum:                 0.000   0.000   0.000   4.800   9.700 991.800  
------- -------- ----- ------- ------- ------- ------- ------- ------- 
9414863 20050101 00:00   4.300 209.000  12.000   9.700  11.100 1012.10
9414863 20050101 00:06   5.600 206.000   8.400   9.500  11.000 1012.00
9414863 20050101 00:12   7.900 166.000  12.600   8.800  11.000 1011.70
9414863 20050101 00:18   1.000 164.000   7.700   8.900  11.000 1011.80
9414863 20050101 00:24   2.500 183.000   3.500   9.100  11.100 1011.70
9414863 20050101 00:30   5.600 213.000   6.700   8.900  11.000 1011.80
9414863 20050101 00:36                                                
9414863 20050101 00:42   5.400 197.000   7.900   8.600  10.900 1011.70
9414863 20050101 00:48   9.800 188.000  11.700   8.900  10.900 1011.60
9414863 20050101 00:54   5.800 189.000  10.500   8.900  10.800 1011.60
9414863 20050101 01:00   3.400 182.000   6.300   8.900  10.900 1011.60
9414863 20050101 01:06   2.000 173.000   4.700   9.000  10.900 1011.60
9414863 20050101 01:12   1.200 163.000   4.000   8.900  10.900 1011.40
9414863 20050101 01:18   2.500 160.000   4.000   8.800  10.900 1011.60
9414863 20050101 01:24   0.600 161.000   3.800   9.000  10.900 1011.60
9414863 20050101 01:30   1.800 166.000   4.300   9.100  10.800 1011.60
9414863 20050101 01:36   2.700 175.000   4.800   9.200  10.800 1011.40
9414863 20050101 01:42   2.200 166.000   4.400   9.300  10.800 1011.30
9414863 20050101 01:48   1.900 168.000   4.600   9.300  10.800 1011.40
9414863 20050101 01:54   2.600 164.000   4.700   9.500  10.800 1011.30
9414863 20050101 02:00   3.400 162.000   5.100   9.400  10.700 1011.40
9414863 20050101 02:06   2.700 165.000   4.900   9.500  10.700 1011.30
9414863 20050101 02:12   3.000 163.000   5.600   9.600  10.700 1011.30
9414863 20050101 02:18   2.500 162.000   4.800   9.800  10.800 1011.40
9414863 20050101 02:24   4.000 157.000   5.900  10.000  10.800 1011.30
9414863 20050101 02:30   3.100 161.000   5.200  10.100  10.700 1011.20
9414863 20050101 02:36   4.200 157.000   7.200  10.100  10.700 1011.10
9414863 20050101 02:42   5.100 162.000   7.800  10.300  10.700 1011.10
9414863 20050101 02:48   6.500 221.000  11.100          10.700 1011.40
9414863 20050101 02:54   5.400 226.000   8.300   9.800  10.600 1011.50
9414863 20050101 03:00   4.400 224.000   7.300   9.900  10.600 1011.60
9414863 20050101 03:06   4.000 220.000   6.300   9.900  10.700 1011.60
9414863 20050101 03:12   3.900 223.000   6.600   9.800  10.600 1011.70
9414863 20050101 03:18   4.300 212.000   6.300   9.800  10.600 1011.70
9414863 20050101 03:24   4.200 216.000   6.300   9.800  10.600 1011.70
9414863 20050101 03:30   3.800 214.000   5.600   9.900  10.600 1011.70
9414863 20050101 03:36   3.600 232.000   5.200  10.100  10.600 1011.80
9414863 20050101 03:42   3.000 231.000   4.900  10.100  10.600 1011.80
9414863 20050101 03:48   2.800 223.000   4.900  10.100  10.600 1011.90
9414863 20050101 03:54   2.500 213.000   4.600  10.300  10.600 1011.90
9414863 20050101 04:00   2.100 217.000   4.600  10.200  10.600 1012.00
9414863 20050101 04:06   3.800 209.000   5.100  10.100  10.600 1012.00
9414863 20050101 04:12   2.800 211.000   4.600  10.100  10.600 1012.10
9414863 20050101 04:18   1.900 208.000   3.100  10.200  10.700 1012.20
9414863 20050101 04:24   2.900 218.000   4.200  10.200  10.600 1012.20
9414863 20050101 04:30   2.200 213.000   4.100  10.300  10.700 1012.30
9414863 20050101 04:36   3.300 207.000   4.200  10.400  10.600 1012.40
9414863 20050101 04:42   2.800 226.000   5.000  10.400  10.600 1012.40
9414863 20050101 04:48   3.500 221.000   5.300  10.300  10.600 1012.10
